Team,full_play_type,play_count
ARI,pass_left,2039
ARI,pass_middle,1331
ARI,pass_right,2286
ARI,run_left,1114
ARI,run_middle,1435
ARI,run_right,1133
ATL,pass_left,2147
ATL,pass_middle,1401
ATL,pass_right,2330
ATL,run_left,1667
ATL,run_middle,666
ATL,run_right,1587
BAL,pass_left,1675
BAL,pass_middle,1625
BAL,pass_right,2344
BAL,run_left,1773
BAL,run_middle,686
BAL,run_right,1781
BUF,pass_left,1876
BUF,pass_middle,1067
BUF,pass_right,2029
BUF,run_left,1476
BUF,run_middle,1455
BUF,run_right,1488
CAR,pass_left,1950
CAR,pass_middle,995
CAR,pass_right,2044
CAR,run_left,1612
CAR,run_middle,1392
CAR,run_right,1501
CHI,pass_left,1837
CHI,pass_middle,1175
CHI,pass_right,2153
CHI,run_left,1765
CHI,run_middle,559
CHI,run_right,1694
CIN,pass_left,1778
CIN,pass_middle,1324
CIN,pass_right,2170
CIN,run_left,1742
CIN,run_middle,733
CIN,run_right,1770
CLE,pass_left,1874
CLE,pass_middle,1100
CLE,pass_right,2405
CLE,run_left,1558
CLE,run_middle,669
CLE,run_right,1694
DAL,pass_left,1947
DAL,pass_middle,1314
DAL,pass_right,2100
DAL,run_left,1560
DAL,run_middle,1047
DAL,run_right,1522
DEN,pass_left,2306
DEN,pass_middle,1171
DEN,pass_right,2145
DEN,run_left,1345
DEN,run_middle,1491
DEN,run_right,1391
DET,pass_left,2106
DET,pass_middle,1546
DET,pass_right,2492
DET,run_left,1389
DET,run_middle,979
DET,run_right,1367
GB,pass_left,1939
GB,pass_middle,1231
GB,pass_right,2400
GB,run_left,1594
GB,run_middle,786
GB,run_right,1543
HOU,pass_left,1934
HOU,pass_middle,1494
HOU,pass_right,1971
HOU,run_left,1683
HOU,run_middle,1155
HOU,run_right,1683
IND,pass_left,2225
IND,pass_middle,1344
IND,pass_right,2340
IND,run_left,1207
IND,run_middle,1471
IND,run_right,1174
JAC,pass_left,1360
JAC,pass_middle,831
JAC,pass_right,1610
JAC,run_left,800
JAC,run_middle,1298
JAC,run_right,730
JAX,pass_left,547
JAX,pass_middle,469
JAX,pass_right,612
JAX,run_left,353
JAX,run_middle,537
JAX,run_right,375
KC,pass_left,1818
KC,pass_middle,1094
KC,pass_right,2154
KC,run_left,1316
KC,run_middle,1622
KC,run_right,1369
LA,pass_left,597
LA,pass_middle,354
LA,pass_right,649
LA,run_left,431
LA,run_middle,330
LA,run_right,415
LAC,pass_left,396
LAC,pass_middle,264
LAC,pass_right,390
LAC,run_left,273
LAC,run_middle,268
LAC,run_right,223
MIA,pass_left,1928
MIA,pass_middle,1084
MIA,pass_right,2297
MIA,run_left,1412
MIA,run_middle,1121
MIA,run_right,1381
MIN,pass_left,1827
MIN,pass_middle,1126
MIN,pass_right,2237
MIN,run_left,1428
MIN,run_middle,1271
MIN,run_right,1487
NE,pass_left,2360
NE,pass_middle,1578
NE,pass_right,1927
NE,run_left,1715
NE,run_middle,1223
NE,run_right,1396
NO,pass_left,2358
NO,pass_middle,1334
NO,pass_right,2452
NO,run_left,1629
NO,run_middle,572
NO,run_right,1791
NYG,pass_left,2019
NYG,pass_middle,1504
NYG,pass_right,2115
NYG,run_left,1481
NYG,run_middle,938
NYG,run_right,1487
NYJ,pass_left,1804
NYJ,pass_middle,1129
NYJ,pass_right,2095
NYJ,run_left,1451
NYJ,run_middle,1324
NYJ,run_right,1844
OAK,pass_left,1955
OAK,pass_middle,1334
OAK,pass_right,2183
OAK,run_left,1373
OAK,run_middle,1361
OAK,run_right,1170
PHI,pass_left,2161
PHI,pass_middle,1234
PHI,pass_right,2294
PHI,run_left,1566
PHI,run_middle,1214
PHI,run_right,1384
PIT,pass_left,1869
PIT,pass_middle,1598
PIT,pass_right,2175
PIT,run_left,1228
PIT,run_middle,1135
PIT,run_right,1597
SD,pass_left,1699
SD,pass_middle,1081
SD,pass_right,1697
SD,run_left,944
SD,run_middle,1403
SD,run_right,928
SEA,pass_left,1762
SEA,pass_middle,942
SEA,pass_right,2181
SEA,run_left,1649
SEA,run_middle,1133
SEA,run_right,1622
SF,pass_left,1806
SF,pass_middle,979
SF,pass_right,2108
SF,run_left,1603
SF,run_middle,1252
SF,run_right,1384
STL,pass_left,1265
STL,pass_middle,782
STL,pass_right,1624
STL,run_left,929
STL,run_middle,886
STL,run_right,1001
TB,pass_left,2053
TB,pass_middle,1287
TB,pass_right,2101
TB,run_left,1455
TB,run_middle,1073
TB,run_right,1377
TEN,pass_left,1867
TEN,pass_middle,1130
TEN,pass_right,2015
TEN,run_left,1514
TEN,run_middle,1176
TEN,run_right,1380
WAS,pass_left,1825
WAS,pass_middle,1588
WAS,pass_right,1985
WAS,run_left,1656
WAS,run_middle,725
WAS,run_right,1561
